Noise,acc,mse
0.1,0.982,0.15932045826659652
0.15000000000000002,0.991,0.3589720038932006
0.2,0.9445,0.6453597197004813
0.25,0.992,1.0119829475176096
0.3,0.9615,1.4454313433609791
0.35,0.995,1.9809274627854438
0.39999999999999997,0.9695,2.568730706045176
0.44999999999999996,0.9195,3.2334524882315936
0.49999999999999994,0.9475,4.037157649615893
0.5499999999999999,0.9355,4.887425978880134
0.6,0.8835,5.77501670969057
0.65,0.896,6.771994233528555
0.7000000000000001,0.925,7.894401252856475
0.7500000000000001,0.8975,9.00738717979813
0.8000000000000002,0.929,10.2109574103855
0.8500000000000002,0.874,11.497382556889136
0.9000000000000002,0.896,12.906014201466776
